Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Tình trạng nội thất,Đặc điểm căn hộ,Hướng cửa chính,Loại hình căn hộ,Hướng ban công,Đơn giá (tr/m2),Giấy tờ pháp lý,Số phòng ngủ,Diện tích,Số phòng vệ sinh
23890076,101641323,463953827,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Tân Hưng,Phường Tân Hưng,,Nguyễn Hữu Thọ,Căn hộ/Chung cư,3 tuần trước,0,False,10.74367,106.70149,"10.74367,106.70149",,"2,3 tỷ",,,0,False,2026-03-07 08:56:37,2300000000 ₫,Mua bán,,,,Chung cư,,60.526318 tr/m²,Hợp đồng đặt cọc,1 PN,38 m²,1
10895332,102277714,1964456515,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Số 1,Căn hộ/Chung cư,2 giờ trước,0,False,10.8267,106.7583,"10.8267,106.7583",,"3,3 tỷ",,,0,False,2026-03-31 20:24:24,3300000000 ₫,Mua bán,,,,Chung cư,,62.264153 tr/m²,Hợp đồng mua bán,1 PN,53 m²,1
11364880,103612090,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,Phường 16,Phường Phú Định,,Đường Võ Văn Kiệt,Căn hộ/Chung cư,1 tuần trước,0,False,10.72855,106.62393,"10.72855,106.62393",,"1,8 tỷ",,,0,False,2026-03-22 16:26:04,1800000000 ₫,Mua bán,,,,Chung cư,,30 tr/m²,,2 PN,60 m²,2
17465364,104003861,972004339,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Phú Xuân,Xã Nhà Bè,15B,Nguyễn Lương Bằng,Căn hộ/Chung cư,2 ngày trước,0,False,10.67615,106.74499,"10.67615,106.74499",,"2,9 tỷ",,,0,False,2026-03-27 14:31:53,2900000000 ₫,Mua bán,Nội thất cao cấp,,,Chung cư,,38.666668 tr/m²,Sổ hồng riêng,2 PN,75 m²,
868547,105460090,1937369028,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Bình Thắng,Phường Đông Hòa,,Xa Lộ Hà Nội,Căn hộ/Chung cư,4 tuần trước,0,False,10.90366,106.79386,"10.90366,106.79386",,"1,65 tỷ",,,,False,2026-03-04 13:22:20,1650000000 ₫,Mua bán,,,,Chung cư,,29.464285 tr/m²,1,2 PN,56 m²,2
5489182,105494014,1806493439,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 4,Phường 18,Phường Xóm Chiếu,Số 504,Nguyễn Tất Thành,Căn hộ/Chung cư,4 tuần trước,0,False,10.75665,106.71845,"10.75665,106.71845",,"4,2 tỷ",,,,False,2026-03-02 12:27:03,4200000000 ₫,Mua bán,Nội thất đầy đủ,,,Chung cư,,70 tr/m²,Sổ hồng riêng,1 PN,60 m²,
23890076,105501722,463953827,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Tân Hưng,Phường Tân Hưng,,Nguyễn Hữu Thọ,Căn hộ/Chung cư,3 tuần trước,0,False,10.74367,106.70149,"10.74367,106.70149",,"2,5 tỷ",,,0,False,2026-03-07 08:57:01,2500000000 ₫,Mua bán,,,,Officetel,,65.789474 tr/m²,Hợp đồng đặt cọc,1 PN,38 m²,1
12258163,106129075,963864228,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh",Căn hộ/Chung cư,13 giờ trước,0,False,10.82954,106.61561,"10.82954,106.61561",,"2,55 tỷ",,,0,False,2026-03-29 09:18:13,2550000000 ₫,Mua bán,,,,Chung cư,,51 tr/m²,Hợp đồng mua bán,2 PN,50 m²,
12258163,106823305,963864228,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Phan Văn Hớn,Căn hộ/Chung cư,1 tuần trước,0,False,10.82954,106.61561,"10.82954,106.61561",,"2,55 tỷ",,,,False,2026-03-20 15:08:58,2550000000 ₫,Mua bán,,,,Chung cư,,51 tr/m²,Sổ hồng riêng,2 PN,50 m²,
12258163,106897836,1176474859,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,Phường Tân Thới Nhất,Phường Đông Hưng Thuận,,Dương Thị Giang,Căn hộ/Chung cư,2 tuần trước,0,False,10.8243,106.6202,"10.8243,106.6202",,"3,1 tỷ",,,,False,2026-03-12 16:40:53,3100000000 ₫,Mua bán,,,,Chung cư,,50.81967 tr/m²,Hợp đồng mua bán,2 PN,61 m²,
