Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Hướng đất,Diện tích,Loại hình đất,Đơn giá (tr/m2),Giấy tờ pháp lý,Đặc điểm nhà/đất
10150198,102655200,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Quy Đức,Xã Hưng Long,C5/17D,Đường Hốc Hưu,Đất,3 tuần trước,0,False,10.6365,106.6313,"10.6365,106.6313",,"2,2 tỷ",19 m2,9.3 m2,0,False,2026-03-11 16:51:00,2200000000 ₫,Mua bán,Đông Nam,176 m²,Đất nông nghiệp,12.5 tr/m²,Đã có sổ,Mặt tiền
22117061,103445698,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,Phường 10,Phường Bình Phú,,Đường Lý Chiêu Hoàng,Đất,3 ngày trước,0,False,10.73783,106.62883,"10.73783,106.62883",,128 tỷ,45 m2,24 m2,0,False,2026-03-27 13:04:03,128000000000 ₫,Mua bán,,1080 m²,Đất thổ cư,118.51852 tr/m²,Đã có sổ,
23778981,103475402,987630212,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú B (Quận 9 cũ),Phường Tăng Nhơn Phú,Thửa 1143,Đình Phong Phú,Đất,14 giờ trước,0,False,10.8306,106.7853,"10.8306,106.7853",,"16,06 tỷ",18.5 m2,8 m2,0,False,2026-03-31 09:25:11,16060000000 ₫,Mua bán,Bắc,146 m²,Đất thổ cư,110 tr/m²,Đã có sổ,Mặt tiền
23778981,103524998,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Tăng Nhơn Phú B (Quận 9 cũ),Phường Tăng Nhơn Phú,Thửa 545 tờ bản đồ số 16,Đình Phong Phú,Đất,14 giờ trước,0,False,10.8307,106.7853,"10.8307,106.7853",,"20,185 tỷ",18.35 m2,10.05 m2,0,False,2026-03-31 09:17:43,20185000000 ₫,Mua bán,Bắc,183.5 m²,Đất thổ cư,110 tr/m²,Đã có sổ,Hẻm xe hơi;Thổ cư toàn bộ
2645426,103635073,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thạnh Đông,Xã Phú Hòa Đông,,Tỉnh Lộ 15,Đất,hôm qua,0,False,10.9575,106.5964,"10.9575,106.5964",,"3,95 tỷ",,,0,False,2026-03-28 16:23:04,3950000000 ₫,Mua bán,,400 m²,Đất thổ cư,9.875 tr/m²,Đã có sổ,
4909510,103685892,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Đặng Thùy Trâm,Đất,3 tuần trước,0,False,10.829,106.7012,"10.829,106.7012",,"17,9 tỷ",21 m2,5 m2,0,False,2026-03-09 10:03:21,17900000000 ₫,Mua bán,,105 m²,Đất thổ cư,170.4762 tr/m²,Đã có sổ,Mặt tiền
22117061,103742880,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,Phường 10,Phường Bình Phú,,Đường Số 59,Đất,3 ngày trước,0,False,10.73695,106.62379,"10.73695,106.62379",,22 tỷ,20 m2,16 m2,0,False,2026-03-27 16:44:01,22000000000 ₫,Mua bán,Đông Nam,262 m²,Đất thổ cư,83.96947 tr/m²,Đã có sổ,Mặt tiền
10150198,104199310,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Bình Chánh,Xã Quy Đức,Xã Hưng Long,C5/17D ( nhà sách Minh Quân ),Đường Nguyễn Văn Thời,Đất,3 tuần trước,0,False,10.6325,106.6339,"10.6325,106.6339",,540 triệu,11.5 m2,4 m2,0,False,2026-03-09 16:46:00,540000000 ₫,Mua bán,Đông Nam,46 m²,Đất nông nghiệp,11.73913 tr/m²,Sổ chung / công chứng vi bằng,Mặt tiền;Hẻm xe hơi;Thổ cư 1 phần
5008087,105123778,682068096,Bà Rịa - Vũng Tàu,TP Hồ Chí Minh,Thành phố Bà Rịa,Xã Hoà Long,Phường Tam Long,,Hòa Long,Đất,3 tuần trước,0,False,10.5212,107.20553,"10.5212,107.20553",,"1,6 tỷ",21.5 m2,10 m2,0,False,2026-03-11 08:35:05,1600000000 ₫,Mua bán,Đông Nam,215 m²,Đất thổ cư,7.4418607 tr/m²,Đã có sổ,Mặt tiền
3244,106788659,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Nhà Bè,Xã Long Thới,Xã Hiệp Phước,,489 Đường Nguyễn Văn Tạo,Đất,3 tuần trước,0,False,10.6442,106.7322,"10.6442,106.7322",,"4,9 tỷ",20 m2,8 m2,0,False,2026-03-08 09:49:37,4900000000 ₫,Mua bán,,160 m²,Đất thổ cư,30.625 tr/m²,Đã có sổ,Hẻm xe hơi
