Mã người đăng,Mã bài đăng,Mã dự án,Tỉnh/Thành phố cũ,Tỉnh/Thành phố mới,Huyện/Quận cũ,Phường/Xã cũ,Phường mới,Số nhà,Đường,Loại hình,Cập nhât lần cuối,Số tầng,Có hướng ra đường,Vĩ độ,Kinh độ,Tọa độ,Tọa độ ID,Giá (chữ),Chiều dài,Chiều rộng,Mức độ quảng cáo,Đăng bởi Đối tác,Ngày đăng,Giá bán,Hình thức,Hướng cửa chính,Tình trạng nội thất,Loại hình văn phòng,Đơn giá (tr/m2),Giấy tờ pháp lý,Diện tích
10343901,103830451,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Tân Phú (Quận 9 cũ),Phường Tăng Nhơn Phú,,Đường Hoàng Hữu Nam,"Văn phòng, Mặt bằng kinh doanh",hôm qua,0,False,10.8662,106.8134,"10.8662,106.8134",,"9,8 tỷ",,,0,False,2026-03-29 07:42:19,9800000000 ₫,Mua bán,,,Mặt bằng kinh doanh,106.521736 tr/m²,Đã có sổ,92 m²
22214079,114293125,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,Phường Phạm Ngũ Lão,Phường Bến Thành,,Bùi Viện,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,False,10.7676,106.6942,"10.7676,106.6942",,91 tỷ,,,0,False,2026-03-18 09:08:48,91000000000 ₫,Mua bán,,Nội thất cao cấp,Mặt bằng kinh doanh,650 tr/m²,Đã có sổ,140 m²
770376,116429494,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Hiệp Bình Chánh (Quận Thủ Đức cũ),Phường Hiệp Bình,,Đường Hiệp Bình,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,False,10.8374,106.7327,"10.8374,106.7327",,"16,9 tỷ",,,0,False,2026-03-18 13:34:02,16900000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,140.83333 tr/m²,Đã có sổ,120 m²
3465227,116852282,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Phước Long A (Quận 9 cũ),Phường Phước Long,556,Đường Song Hành Xa lộ Hà Nội - Nhánh Quận 9,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,False,10.825509,106.76113,"10.8255093,106.7611295",,45 tỷ,,,0,False,2026-03-18 21:12:59,45000000000 ₫,Mua bán,Tây Bắc,Hoàn thiện cơ bản,Mặt bằng kinh doanh,190.67796 tr/m²,Đã có sổ,236 m²
10343901,118124564,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Bình Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Đường Đặng Văn Bi,"Văn phòng, Mặt bằng kinh doanh",3 tuần trước,0,False,10.848114,106.75977,"10.8481136,106.7597709",,27 tỷ,,,0,False,2026-03-08 19:32:18,27000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,144.77213 tr/m²,Đã có sổ,186.5 m²
20669403,121655471,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận Bình Thạnh,Phường 13,Phường Bình Lợi Trung,,Đường Bình Lợi,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.835073,106.70322,"10.8350731,106.7032186",osm:W724431702,16 tỷ,,,,False,2026-03-02 11:52:24,16000000000 ₫,Mua bán,,,Mặt bằng kinh doanh,145.45454 tr/m²,Đã có sổ,110 m²
2994916,122093865,987630212,Tp Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,Phường Tân Phú,Phường Tân Mỹ,15,Đường Nguyễn Lương Bằng,"Văn phòng, Mặt bằng kinh doanh",4 ngày trước,0,True,10.73533,106.71817,"10.7353299,106.7181695",osm:W721979572,"2,38 tỷ",,,0,False,2026-03-26 12:07:57,2380000000 ₫,Mua bán,,Hoàn thiện cơ bản,Officetel,66.111115 tr/m²,Giấy tờ khác,36 m²
24926292,122470906,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Sơn,Xã Xuân Thới Sơn,,Đường Nguyễn Văn Bứa Xã Xuân Thới Sơn Huyện Hóc Môn,"Văn phòng, Mặt bằng kinh doanh",hôm qua,0,False,10.870782,106.56424,"10.8707818,106.5642419",,"34,5 tỷ",,,0,False,2026-03-28 11:26:27,34500000000 ₫,Mua bán,,Hoàn thiện cơ bản,Mặt bằng kinh doanh,28.75 tr/m²,Đã có sổ,1200 m²
10343901,123342528,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ (Quận Thủ Đức cũ),Phường Thủ Đức,,Đường số 2,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,False,10.836502,106.752884,"10.8365022,106.7528821",,"38,5 tỷ",,,,False,2026-03-03 10:48:26,38500000000 ₫,Mua bán,,Nội thất đầy đủ,Mặt bằng kinh doanh,120.3125 tr/m²,Đã có sổ,320 m²
2382880,123851565,,Bình Dương,TP Hồ Chí Minh,Thành phố Dĩ An,Phường Dĩ An,Phường Dĩ An,,Đường Nguyễn Tri Phương,"Văn phòng, Mặt bằng kinh doanh",4 tuần trước,0,True,10.893853,106.75878,"10.8938535,106.7587828",osm:W1210749204,"17,85 tỷ",,,,False,2026-03-04 18:22:58,17850000000 ₫,Mua bán,,,Mặt bằng kinh doanh,70 tr/m²,Đã có sổ,255 m²
406312,124271214,,Tp Hồ Chí Minh,TP Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Sơn,Xã Xuân Thới Sơn,,Đường Xuân Thới Sơn 20C,"Văn phòng, Mặt bằng kinh doanh",4 giờ trước,0,True,10.871278,106.579025,"10.8712777,106.5790242",osm:W605166036,"4,75 tỷ",,,0,False,2026-03-30 09:22:40,4750000000 ₫,Mua bán,,Nội thất cao cấp,Mặt bằng kinh doanh,47.5 tr/m²,Đã có sổ,100 m²
4706210,124334624,,Bình Dương,TP Hồ Chí Minh,Thành phố Thủ Dầu Một,Phường Phú Hòa,Phường Phú Lợi,,Đường Đại lộ Bình Dương,"Văn phòng, Mặt bằng kinh doanh",2 tuần trước,0,True,10.975452,106.6698,"10.9754527,106.6698015",osm:W225057228,136 tỷ,,,0,False,2026-03-16 16:45:04,136000000000 ₫,Mua bán,Đông Nam,Hoàn thiện cơ bản,Mặt bằng kinh doanh,94.77352 tr/m²,Đã có sổ,1435 m²
