Mã dự án,Tên dự án,Tên khác,Loại dự án,Địa chỉ,Phường/Xã,Quận/Huyện,Tỉnh/Thành phố,Địa chỉ chi tiết,Trạng thái giao dịch,Số tin bán,Số tin thuê,Tổng số tin,Số người bán,Ngày tạo,Ngày cập nhật,Ngày bắt đầu xây dựng,Ngày trả bàn giao,Diện tích tổng,Diện tích xây dựng,Giá bán thấp nhất,Giá bán cao nhất,Giá thấp nhất/m2,Giá cao nhất/m2,Nhà đầu tư,Loại hình,Tiến độ,Trạng thái
1021586054,Tân Phú Center City,Tân Phú Center City,"Biệt thự, liền kề","Đường Nguyễn Sơn, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",Phường Hiệp Tân,Quận Tân Phú,Tp Hồ Chí Minh,,,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,"Biệt thự, liền kề",,
1041562680,Hoàng Phú Nha Trang,Hoàng Phú Nha Trang,Đất nền,"Đường 2/4, Phường Vĩnh Hòa, Thành phố Nha Trang, Khánh Hòa",Phường Vĩnh Hòa,Thành phố Nha Trang,Khánh Hòa,,,1,0,1,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
1052817304,Bình Điền Center  2 Bình Chánh,Bình Điền Center  2 Bình Chánh,Đất nền,Đường Nguyễn Hữu Trí,Thị trấn Tân Túc,Huyện Bình Chánh,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Trí, Tân Túc, Thị trấn Tân Túc, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
1065654863,Phú Gia Cotec,Phú Gia Cotec,Đất nền,Đường Huỳnh Tấn Phát,,Huyện Nhà Bè,Tp Hồ Chí Minh,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,1,0,1,0,2025-05-30 15:07:44,2026-04-01 11:40:10,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
1072226543,Capital Square,,Căn hộ chung cư,Đường Trần Hưng Đạo,Phường An Hải Bắc,Quận Sơn Trà,Đà Nẵng,"Đường Trần Hưng Đạo, Phường An Hải Bắc, Quận Sơn Trà, Thành phố Đà Nẵng, Việt Nam",Sắp mở bán,12,0,12,0,2025-10-09 10:38:49,2026-03-30 10:20:09,2025-08-17 00:00:00,2025-10-09 10:38:49,0,0,0,-1,0,-1,,Căn hộ chung cư,Đã hoàn thành,Sắp mở bán
1110218675,Bcons Avenue,Bcons Avenue,Căn hộ chung cư,"Đường Võ Nguyên Giáp, phường Bình Thắng, TP. Dĩ An, tỉnh Bình Dương",Phường Bình Thắng,Thành phố Dĩ An,Bình Dương,,Đang mở bán,1,0,1,0,2025-06-20 12:26:22,2026-03-30 10:20:09,2024-06-20 00:00:00,2025-06-20 12:26:22,0,0,0,-1,0,-1,,Căn hộ chung cư,Đang thi công,Đang mở bán
1138817638,The Emerald Garden View,The Emerald Garden View,Căn hộ chung cư,Đường Nguyễn Chí Thanh,Phường Hưng Định,Thành phố Thuận An,Bình Dương,"Đường Nguyễn Chí Thanh, Phường An Thạnh, Thành phố Thuận An, Tỉnh Bình Dương, Việt Nam",Sắp mở bán,22,0,22,0,2026-03-16 11:02:27,2026-03-30 10:20:09,2025-10-29 00:00:00,2026-03-16 11:02:27,17988,17988,-1,-1,35000000,-1,Lê Phong Group,Căn hộ chung cư,Đang thi công,Sắp mở bán
1176809802,Happy Home Dĩ An ,,Căn hộ chung cư,Đường Nguyễn Thị Minh Khai,Phường Tân Đông Hiệp,Thành phố Dĩ An,Bình Dương,"Đường Nguyễn Thị Minh Khai, Phường Tân Đông Hiệp, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",Đang mở bán,1,0,1,0,2025-07-09 11:11:43,2026-03-30 10:20:09,2024-12-20 00:00:00,2025-07-09 11:11:43,0,0,0,-1,0,-1,,Căn hộ chung cư,Đã hoàn thành,Đang mở bán
122798906,Nhà Xinh Residential,Nhà Xinh Residential,Khu dân cư,Đường Đinh Đức Thiện,,Huyện Bình Chánh,Tp Hồ Chí Minh,"Đường Đinh Đức Thiện, Bình Chánh, Xã Bình Chánh, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",,0,0,0,0,2025-05-30 15:07:43,2026-04-01 11:38:11,,2025-05-30 15:07:42,0,0,0,0,0,0,,Khu dân cư,,
1232627742,Cửa Cờn Riverside,Cửa Cờn Riverside,Đất nền,"Dự án Cửa Cờn Riverside, Phường Quỳnh Dị, Thị xã Hoàng Mai, Nghệ An",Phường Quỳnh Dị,Thị xã Hoàng Mai,Nghệ An,,,0,0,0,0,2025-05-30 15:07:44,2026-03-30 10:20:09,,2025-05-30 15:07:42,0,0,0,0,0,0,,Đất nền,,
